date,close_price_NEIROUSDT,return_NEIROUSDT,signal_NEIROUSDT,position_NEIROUSDT,signal_return_NEIROUSDT,cum_return_NEIROUSDT,cum_signal_return_NEIROUSDT
2024-09-16 00:00:00,0.000359,,0,0.5,,,
2024-09-17 00:00:00,0.0006885,0.917827298,0,0.5,0.458913649,0.917827298,0.458913649
2024-09-18 00:00:00,0.000963,0.39869281,0,0.5,0.199346405,1.682451253,0.74974284
2024-09-19 00:00:00,0.0009187,-0.046002077,0,0.5,-0.023001038,1.559052925,0.709496938
2024-09-20 00:00:00,0.0008391,-0.086644171,0,0.5,-0.043322086,1.337325905,0.635437966
2024-09-21 00:00:00,0.0008093,-0.035514241,0,0.5,-0.017757121,1.254317549,0.606397296
2024-09-22 00:00:00,0.0008298,0.025330533,0,0.5,0.012665266,1.311420613,0.626742746
2024-09-23 00:00:00,0.0012618,0.520607375,0,0.5,0.260303688,2.514763231,1.050189881
2024-09-24 00:00:00,0.0012155,-0.036693612,0,0.5,-0.018346806,2.385793872,1.012575445
2024-09-25 00:00:00,0.001082,-0.109831345,0,0.5,-0.054915673,2.013927577,0.902053511
2024-09-26 00:00:00,0.001059,-0.021256932,0,0.5,-0.010628466,1.949860724,0.8818376
2024-09-27 00:00:00,0.0010742,0.014353163,0,0.5,0.007176582,1.992200557,0.895342761
2024-09-28 00:00:00,0.0011792,0.097747161,0,0.5,0.04887358,2.284679666,0.987974948
2024-09-29 00:00:00,0.0010832,-0.081411126,0,0.5,-0.040705563,2.017270195,0.907053308
2024-09-30 00:00:00,0.0011348,0.047636632,0,0.5,0.023818316,2.161002786,0.952476107
2024-10-01 00:00:00,0.000938,-0.17342263,0,0.5,-0.086711315,1.61281337,0.783174337
2024-10-02 00:00:00,0.0009327,-0.00565032,0,0.5,-0.00282516,1.598050139,0.778136584
2024-10-03 00:00:00,0.0009073,-0.027232765,0,0.5,-0.013616383,1.52729805,0.753924796
2024-10-04 00:00:00,0.0010579,0.165986994,0,0.5,0.082993497,1.946796657,0.899489149
2024-10-05 00:00:00,0.0009603,-0.092258247,0,0.5,-0.046129124,1.674930362,0.811867379
2024-10-06 00:00:00,0.0013157,0.370092679,0,0.5,0.18504634,2.664902507,1.147146805
2024-10-07 00:00:00,0.00164,0.246484761,0,0.5,0.12324238,3.568245125,1.411766289
2024-10-08 00:00:00,0.0017821,0.086646341,0,0.5,0.043323171,3.964066852,1.516251651
2024-10-09 00:00:00,0.0018403,0.0326581,0,0.5,0.01632905,4.126183844,1.55733965
2024-10-10 00:00:00,0.0016916,-0.080802043,0,0.5,-0.040401022,3.711977716,1.454020516
2024-10-11 00:00:00,0.0018719,0.106585481,0,0.5,0.053292741,4.214206128,1.584801995
2024-10-12 00:00:00,0.0020769,0.109514397,0,0.5,0.054757199,4.785236769,1.726338511
2024-10-13 00:00:00,0.0020407,-0.017429823,0,0.5,-0.008714912,4.684401114,1.702578712
2024-10-14 00:00:00,0.0021034,0.030724751,0,0.5,0.015362376,4.859052925,1.744096741
2024-10-15 00:00:00,0.0019885,-0.054625844,0,0.5,-0.027312922,4.538997214,1.669147441
