date,close_price_TONUSDT,return_TONUSDT,signal_TONUSDT,position_TONUSDT,signal_return_TONUSDT,cum_return_TONUSDT,cum_signal_return_TONUSDT
2024-03-01 00:00:00,2.712,,0,0.5,,,
2024-03-02 00:00:00,2.7198,0.002876106,0,0.5,0.001438053,0.002876106,0.001438053
2024-03-03 00:00:00,2.6767,-0.015846753,0,0.5,-0.007923377,-0.013016224,-0.006496718
2024-03-04 00:00:00,2.7328,0.020958643,0,0.5,0.010479322,0.007669617,0.003914522
2024-03-05 00:00:00,2.5951,-0.050387881,0,0.5,-0.02519394,-0.04310472,-0.02137804
2024-03-06 00:00:00,2.6841,0.034295403,0,0.5,0.017147701,-0.010287611,-0.004596923
2024-03-07 00:00:00,2.7557,0.026675608,0,0.5,0.013337804,0.016113569,0.008679568
2024-03-08 00:00:00,2.837,0.029502486,0,0.5,0.014751243,0.046091445,0.023558846
2024-03-09 00:00:00,2.8813,0.015615086,0,0.5,0.007807543,0.062426254,0.031550326
2024-03-10 00:00:00,2.8216,-0.020719814,0,0.5,-0.010359907,0.040412979,0.02086356
2024-03-11 00:00:00,3.2925,0.166891126,0,0.5,0.083445563,0.214048673,0.106050094
2024-03-12 00:00:00,4.0718,0.236689446,0,0.5,0.118344723,0.50140118,0.236945286
2024-03-13 00:00:00,4.3177,0.060390982,0,0.5,0.030195491,0.592072271,0.274295457
2024-03-14 00:00:00,4.0403,-0.064247169,0,0.5,-0.032123584,0.489786136,0.233360519
2024-03-15 00:00:00,3.8902,-0.037150707,0,0.5,-0.018575353,0.434439528,0.210450412
2024-03-16 00:00:00,3.5279,-0.093131459,0,0.5,-0.046565729,0.300848083,0.154084905
2024-03-17 00:00:00,3.8647,0.095467559,0,0.5,0.047733779,0.425036873,0.20917374
2024-03-18 00:00:00,3.8261,-0.009987839,0,0.5,-0.004993919,0.410803835,0.203135224
2024-03-19 00:00:00,3.7893,-0.009618149,0,0.5,-0.004809075,0.397234513,0.197349257
2024-03-20 00:00:00,4.2337,0.117277597,0,0.5,0.058638799,0.56109882,0.267560379
2024-03-21 00:00:00,4.0655,-0.039728842,0,0.5,-0.019864421,0.499078171,0.242381025
2024-03-22 00:00:00,4.4494,0.09442873,0,0.5,0.047214365,0.640634218,0.301039256
2024-03-23 00:00:00,4.8234,0.084056277,0,0.5,0.042028139,0.778539823,0.355719515
2024-03-24 00:00:00,4.9841,0.033316748,0,0.5,0.016658374,0.837794985,0.378303597
2024-03-25 00:00:00,5.3535,0.074115688,0,0.5,0.037057844,0.974004425,0.429380557
2024-03-26 00:00:00,5.0601,-0.054805268,0,0.5,-0.027402634,0.865818584,0.390211765
2024-03-27 00:00:00,4.9735,-0.017114286,0,0.5,-0.008557143,0.833886431,0.378315524
2024-03-28 00:00:00,4.9022,-0.014335981,0,0.5,-0.00716799,0.80759587,0.368435771
2024-03-29 00:00:00,5.0262,0.025294766,0,0.5,0.012647383,0.853318584,0.385742902
2024-03-30 00:00:00,5.2687,0.048247185,0,0.5,0.024123592,0.942735988,0.419171999
2024-03-31 00:00:00,5.428,0.030235162,0,0.5,0.015117581,1.001474926,0.440626447
2024-04-01 00:00:00,5.3517,-0.014056743,0,0.5,-0.007028371,0.973340708,0.430501189
2024-04-02 00:00:00,4.8562,-0.092587402,0,0.5,-0.046293701,0.790634218,0.364277995
2024-04-03 00:00:00,4.9544,0.020221572,0,0.5,0.010110786,0.826843658,0.378071918
2024-04-04 00:00:00,5.0986,0.029105442,0,0.5,0.014552721,0.880014749,0.398126614
2024-04-05 00:00:00,5.3252,0.044443573,0,0.5,0.022221786,0.963569322,0.429195485
2024-04-06 00:00:00,5.4907,0.031078645,0,0.5,0.015539322,1.024594395,0.451404214
2024-04-07 00:00:00,5.3584,-0.024095288,0,0.5,-0.012047644,0.975811209,0.433918213
2024-04-08 00:00:00,6.347,0.184495372,0,0.5,0.092247686,1.340339233,0.56619385
2024-04-09 00:00:00,6.7231,0.059256342,0,0.5,0.029628171,1.479019174,0.612597309
2024-04-10 00:00:00,6.7754,0.007779149,0,0.5,0.003889575,1.498303835,0.618869626
2024-04-11 00:00:00,7.2565,0.071006878,0,0.5,0.035503439,1.67570059,0.676345065
2024-04-12 00:00:00,6.6201,-0.087700682,0,0.5,-0.043850341,1.441039823,0.602836762
2024-04-13 00:00:00,5.9577,-0.100058911,0,0.5,-0.050029456,1.196792035,0.522647711
2024-04-14 00:00:00,6.7792,0.137888783,0,0.5,0.068944391,1.499705015,0.627625731
2024-04-15 00:00:00,6.5662,-0.031419637,0,0.5,-0.015709818,1.421165192,0.602056027
2024-04-16 00:00:00,6.3403,-0.03440346,0,0.5,-0.01720173,1.337868732,0.574497891
2024-04-17 00:00:00,6.0836,-0.040487043,0,0.5,-0.020243522,1.243215339,0.542624509
2024-04-18 00:00:00,6.5165,0.071158525,0,0.5,0.035579262,1.402839233,0.597509951
2024-04-19 00:00:00,6.0613,-0.069853449,0,0.5,-0.034926724,1.234992625,0.541714161
2024-04-20 00:00:00,6.211,0.024697672,0,0.5,0.012348836,1.29019174,0.560752537
2024-04-21 00:00:00,6.1334,-0.012493962,0,0.5,-0.006246981,1.261578171,0.551002545
2024-04-22 00:00:00,5.9302,-0.033130075,0,0.5,-0.016565037,1.186651917,0.52531013
2024-04-23 00:00:00,5.7098,-0.037165694,0,0.5,-0.018582847,1.105383481,0.496965525
2024-04-24 00:00:00,5.553,-0.027461557,0,0.5,-0.013730779,1.047566372,0.476411023
2024-04-25 00:00:00,5.3967,-0.028146948,0,0.5,-0.014073474,0.989933628,0.455632791
2024-04-26 00:00:00,5.3258,-0.013137658,0,0.5,-0.006568829,0.96379056,0.446070988
2024-04-27 00:00:00,5.3999,0.013913403,0,0.5,0.006956701,0.991113569,0.456130872
2024-04-28 00:00:00,5.4199,0.003703772,0,0.5,0.001851886,0.998488201,0.45882746
2024-04-29 00:00:00,5.3138,-0.019576007,0,0.5,-0.009788003,0.959365782,0.444548452
2024-04-30 00:00:00,5.164,-0.028190749,0,0.5,-0.014095374,0.904129794,0.424187001
2024-05-01 00:00:00,4.8806,-0.054879938,0,0.5,-0.027439969,0.799631268,0.385107354
2024-05-02 00:00:00,5.1302,0.051141253,0,0.5,0.025570627,0.891666667,0.420525417
2024-05-03 00:00:00,5.6884,0.108806674,0,0.5,0.054403337,1.097492625,0.49780674
2024-05-04 00:00:00,5.7496,0.010758737,0,0.5,0.005379369,1.120058997,0.505863994
2024-05-05 00:00:00,5.9684,0.038054821,0,0.5,0.019027411,1.200737463,0.534516687
2024-05-06 00:00:00,5.7792,-0.031700288,0,0.5,-0.015850144,1.130973451,0.510194376
2024-05-07 00:00:00,5.6493,-0.022477159,0,0.5,-0.01123858,1.083075221,0.493221936
2024-05-08 00:00:00,5.7593,0.019471439,0,0.5,0.009735719,1.123635693,0.507759526
2024-05-09 00:00:00,6.413,0.113503377,0,0.5,0.056751689,1.364675516,0.593327425
2024-05-10 00:00:00,6.7684,0.055418681,0,0.5,0.02770934,1.495722714,0.637477477
2024-05-11 00:00:00,6.8929,0.018394303,0,0.5,0.009197151,1.541629794,0.652537606
