date,close_price_1000SHIBUSDT,return_1000SHIBUSDT,signal_1000SHIBUSDT,position_1000SHIBUSDT,signal_return_1000SHIBUSDT,cum_return_1000SHIBUSDT,cum_signal_return_1000SHIBUSDT
2021-05-10 00:00:00,0.034839,,0,0.5,,,
2021-05-11 00:00:00,0.030494,-0.124716553,0,0.5,-0.062358277,-0.124716553,-0.062358277
2021-05-12 00:00:00,0.018181,-0.403784351,0,0.5,-0.201892176,-0.478142312,-0.251660804
2021-05-13 00:00:00,0.02069,0.13800121,0,0.5,0.069000605,-0.406125319,-0.200024947
2021-05-14 00:00:00,0.018415,-0.109956501,0,0.5,-0.05497825,-0.471425701,-0.244006175
2021-05-15 00:00:00,0.01558,-0.153950584,0,0.5,-0.076975292,-0.552800023,-0.302199021
2021-05-16 00:00:00,0.017764,0.140179718,0,0.5,0.070089859,-0.490111656,-0.253290249
2021-05-17 00:00:00,0.016475,-0.072562486,0,0.5,-0.036281243,-0.527110422,-0.280381807
2021-05-18 00:00:00,0.015606,-0.052746586,0,0.5,-0.026373293,-0.552053733,-0.299360508
2021-05-19 00:00:00,0.009115,-0.415929771,0,0.5,-0.207964885,-0.738367921,-0.44506892
2021-05-20 00:00:00,0.009661,0.059901262,0,0.5,0.029950631,-0.722695829,-0.428448384
2021-05-21 00:00:00,0.008078,-0.163854673,0,0.5,-0.081927337,-0.768133414,-0.475274085
2021-05-22 00:00:00,0.008381,0.037509284,0,0.5,0.018754642,-0.759436264,-0.465433039
2021-05-23 00:00:00,0.008077,-0.036272521,0,0.5,-0.018136261,-0.768162117,-0.475128084
2021-05-24 00:00:00,0.010644,0.317816021,0,0.5,0.15890801,-0.694480324,-0.391721732
2021-05-25 00:00:00,0.009381,-0.118658399,0,0.5,-0.0593292,-0.730732799,-0.427810395
2021-05-26 00:00:00,0.009505,0.013218207,0,0.5,0.006609104,-0.72717357,-0.424028735
2021-05-27 00:00:00,0.008811,-0.073014203,0,0.5,-0.036507102,-0.747093774,-0.445055776
2021-05-28 00:00:00,0.007902,-0.103166496,0,0.5,-0.051583248,-0.773185223,-0.473681602
2021-05-29 00:00:00,0.007888,-0.001771703,0,0.5,-0.000885852,-0.773587072,-0.474147842
2021-05-30 00:00:00,0.007854,-0.004310345,0,0.5,-0.002155172,-0.77456299,-0.475281144
