date,close_price_SUIUSDT,return_SUIUSDT,signal_SUIUSDT,position_SUIUSDT,signal_return_SUIUSDT,cum_return_SUIUSDT,cum_signal_return_SUIUSDT
2023-05-03 00:00:00,1.3932,,0,0.5,,,
2023-05-04 00:00:00,1.3295,-0.045722079,0,0.5,-0.022861039,-0.045722079,-0.022861039
2023-05-05 00:00:00,1.3059,-0.017751034,0,0.5,-0.008875517,-0.062661499,-0.031533653
2023-05-06 00:00:00,1.3291,0.017765526,0,0.5,0.008882763,-0.046009187,-0.022930996
2023-05-07 00:00:00,1.2419,-0.065608306,0,0.5,-0.032804153,-0.108598909,-0.054982917
2023-05-08 00:00:00,1.1359,-0.085353088,0,0.5,-0.042676544,-0.184682745,-0.09531298
2023-05-09 00:00:00,1.1826,0.041112774,0,0.5,0.020556387,-0.151162791,-0.076715884
2023-05-10 00:00:00,1.1783,-0.003636056,0,0.5,-0.001818028,-0.15424921,-0.07839444
2023-05-11 00:00:00,1.0727,-0.08962064,0,0.5,-0.04481032,-0.230045937,-0.11969188
2023-05-12 00:00:00,1.1144,0.03887387,0,0.5,0.019436935,-0.200114844,-0.102581389
2023-05-13 00:00:00,1.0989,-0.01390883,0,0.5,-0.006954415,-0.21124031,-0.10882241
2023-05-14 00:00:00,1.1581,0.053872054,0,0.5,0.026936027,-0.168748206,-0.084817627
2023-05-15 00:00:00,1.1919,0.029185735,0,0.5,0.014592868,-0.144487511,-0.071462491
2023-05-16 00:00:00,1.1645,-0.022988506,0,0.5,-0.011494253,-0.164154465,-0.082135336
2023-05-17 00:00:00,1.2121,0.040875912,0,0.5,0.020437956,-0.129988516,-0.063376059
2023-05-18 00:00:00,1.1409,-0.058741028,0,0.5,-0.029370514,-0.181093885,-0.090885185
2023-05-19 00:00:00,1.1303,-0.009290911,0,0.5,-0.004645455,-0.188702268,-0.095108437
2023-05-20 00:00:00,1.1238,-0.005750686,0,0.5,-0.002875343,-0.193367786,-0.097710311
2023-05-21 00:00:00,1.0724,-0.045737676,0,0.5,-0.022868838,-0.230261269,-0.118344627
2023-05-22 00:00:00,1.0497,-0.021167475,0,0.5,-0.010583737,-0.246554694,-0.127675836
2023-05-23 00:00:00,1.0525,0.002667429,0,0.5,0.001333714,-0.244544933,-0.126512405
2023-05-24 00:00:00,0.9775,-0.071258907,0,0.5,-0.035629454,-0.298377835,-0.157634291
2023-05-25 00:00:00,0.9816,0.004194373,0,0.5,0.002097187,-0.29543497,-0.155867693
2023-05-26 00:00:00,0.9906,0.009168704,0,0.5,0.004584352,-0.288975022,-0.151997893
2023-05-27 00:00:00,0.998,0.00747022,0,0.5,0.00373511,-0.283663508,-0.148830512
2023-05-28 00:00:00,1.061,0.063126253,0,0.5,0.031563126,-0.23844387,-0.121964942
2023-05-29 00:00:00,1.0391,-0.020640905,0,0.5,-0.010320452,-0.254163078,-0.131026661
2023-05-30 00:00:00,1.0004,-0.037243769,0,0.5,-0.018621884,-0.281940856,-0.147208582
2023-05-31 00:00:00,0.9739,-0.026489404,0,0.5,-0.013244702,-0.300961815,-0.15850355
2023-06-01 00:00:00,0.9455,-0.029161105,0,0.5,-0.014580552,-0.32134654,-0.170773033
2023-06-02 00:00:00,0.9411,-0.004653622,0,0.5,-0.002326811,-0.324504737,-0.172702488
2023-06-03 00:00:00,0.9332,-0.008394432,0,0.5,-0.004197216,-0.330175136,-0.176174834
2023-06-04 00:00:00,0.9601,0.028825547,0,0.5,0.014412773,-0.310867069,-0.164301229
2023-06-05 00:00:00,0.8162,-0.149880221,0,0.5,-0.07494011,-0.414154465,-0.226928587
2023-06-06 00:00:00,0.8312,0.018377849,0,0.5,0.009188924,-0.403387884,-0.219824892
2023-06-07 00:00:00,0.7569,-0.089388835,0,0.5,-0.044694418,-0.456718346,-0.254694365
2023-06-08 00:00:00,0.7283,-0.037785705,0,0.5,-0.018892852,-0.477246626,-0.268775314
2023-06-09 00:00:00,0.738,0.013318687,0,0.5,0.006659344,-0.470284238,-0.263905837
2023-06-10 00:00:00,0.6089,-0.174932249,0,0.5,-0.087466125,-0.562948608,-0.328289141
2023-06-11 00:00:00,0.6047,-0.006897684,0,0.5,-0.003448842,-0.56596325,-0.330605766
2023-06-12 00:00:00,0.6627,0.09591533,0,0.5,0.047957665,-0.524332472,-0.298503182
2023-06-13 00:00:00,0.6976,0.052663347,0,0.5,0.026331673,-0.499282228,-0.280031596
2023-06-14 00:00:00,0.65,-0.068233945,0,0.5,-0.034116972,-0.533448177,-0.304594739
2023-06-15 00:00:00,0.6484,-0.002461538,0,0.5,-0.001230769,-0.534596612,-0.305450622
2023-06-16 00:00:00,0.7068,0.090067859,0,0.5,0.04503393,-0.492678725,-0.274172334
2023-06-17 00:00:00,0.7538,0.066496887,0,0.5,0.033248444,-0.45894344,-0.250039694
2023-06-18 00:00:00,0.7194,-0.045635447,0,0.5,-0.022817724,-0.483634798,-0.267152081
2023-06-19 00:00:00,0.7846,0.090631081,0,0.5,0.045315541,-0.436836061,-0.233942681
2023-06-20 00:00:00,0.8186,0.043334183,0,0.5,0.021667092,-0.412431812,-0.217344447
2023-06-21 00:00:00,0.8309,0.015025654,0,0.5,0.007512827,-0.403603216,-0.211464491
2023-06-22 00:00:00,0.8022,-0.034540859,0,0.5,-0.01727043,-0.424203273,-0.225082839
2023-06-23 00:00:00,0.7978,-0.005484916,0,0.5,-0.002742458,-0.42736147,-0.227208016
2023-06-24 00:00:00,0.7523,-0.057031838,0,0.5,-0.028515919,-0.460020098,-0.24924489
2023-06-25 00:00:00,0.7447,-0.010102353,0,0.5,-0.005051176,-0.465475165,-0.253037086
2023-06-26 00:00:00,0.7258,-0.025379347,0,0.5,-0.012689674,-0.479041057,-0.262515802
2023-06-27 00:00:00,0.7197,-0.008404519,0,0.5,-0.00420226,-0.483419466,-0.265614902
2023-06-28 00:00:00,0.663,-0.078782826,0,0.5,-0.039391413,-0.52411714,-0.294543369
2023-06-29 00:00:00,0.6801,0.025791855,0,0.5,0.012895928,-0.511843239,-0.285445851
2023-06-30 00:00:00,0.6884,0.012204088,0,0.5,0.006102044,-0.505885731,-0.28108561
2023-07-01 00:00:00,0.6887,0.000435793,0,0.5,0.000217897,-0.505670399,-0.280928961
