date,close_price_DOGEUSDT,return_DOGEUSDT,signal_DOGEUSDT,position_DOGEUSDT,signal_return_DOGEUSDT,cum_return_DOGEUSDT,cum_signal_return_DOGEUSDT
2020-07-10 00:00:00,0.003535,,0,0.5,,,
2020-07-11 00:00:00,0.003812,0.078359264,0,0.5,0.039179632,0.078359264,0.039179632
2020-07-12 00:00:00,0.003648,-0.043022036,0,0.5,-0.021511018,0.031966054,0.016825821
2020-07-13 00:00:00,0.003159,-0.134046053,0,0.5,-0.067023026,-0.106364922,-0.051324923
2020-07-14 00:00:00,0.003293,0.042418487,0,0.5,0.021209243,-0.068458274,-0.031204242
2020-07-15 00:00:00,0.003088,-0.062253265,0,0.5,-0.031126632,-0.126449788,-0.061359592
2020-07-16 00:00:00,0.002985,-0.033354922,0,0.5,-0.016677461,-0.155586987,-0.077013731
2020-07-17 00:00:00,0.003057,0.024120603,0,0.5,0.012060302,-0.135219236,-0.065882238
2020-07-18 00:00:00,0.003436,0.123977756,0,0.5,0.061988878,-0.028005658,-0.007977326
2020-07-19 00:00:00,0.003385,-0.014842841,0,0.5,-0.00742142,-0.042432815,-0.015339543
2020-07-20 00:00:00,0.003216,-0.049926145,0,0.5,-0.024963072,-0.090240453,-0.039919693
2020-07-21 00:00:00,0.003302,0.026741294,0,0.5,0.013370647,-0.065912306,-0.027082799
2020-07-22 00:00:00,0.003292,-0.003028468,0,0.5,-0.001514234,-0.06874116,-0.028556023
2020-07-23 00:00:00,0.003307,0.004556501,0,0.5,0.00227825,-0.064497878,-0.02634283
2020-07-24 00:00:00,0.003213,-0.028424554,0,0.5,-0.014212277,-0.091089109,-0.040180716
2020-07-25 00:00:00,0.003261,0.014939309,0,0.5,0.007469655,-0.077510608,-0.033011197
2020-07-26 00:00:00,0.003239,-0.006746397,0,0.5,-0.003373198,-0.083734088,-0.036273042
2020-07-27 00:00:00,0.003162,-0.023772769,0,0.5,-0.011886385,-0.105516266,-0.047728272
2020-07-28 00:00:00,0.003189,0.008538899,0,0.5,0.00426945,-0.097878359,-0.043662595
2020-07-29 00:00:00,0.003173,-0.005017247,0,0.5,-0.002508623,-0.102404526,-0.046061686
2020-07-30 00:00:00,0.003228,0.017333754,0,0.5,0.008666877,-0.086845827,-0.03779402
2020-07-31 00:00:00,0.00323,0.000619579,0,0.5,0.000309789,-0.086280057,-0.037495939
2020-08-01 00:00:00,0.003715,0.150154799,0,0.5,0.075077399,0.050919378,0.034766363
2020-08-02 00:00:00,0.00334,-0.100942127,0,0.5,-0.050471063,-0.055162659,-0.017459396
2020-08-03 00:00:00,0.003384,0.013173653,0,0.5,0.006586826,-0.0427157,-0.010987571
2020-08-04 00:00:00,0.003552,0.04964539,0,0.5,0.024822695,0.004809052,0.013562383
2020-08-05 00:00:00,0.003506,-0.01295045,0,0.5,-0.006475225,-0.008203678,0.006999338
2020-08-06 00:00:00,0.003562,0.015972618,0,0.5,0.007986309,0.007637907,0.015041546
2020-08-07 00:00:00,0.003496,-0.018528916,0,0.5,-0.009264458,-0.011032532,0.005637736
2020-08-08 00:00:00,0.003524,0.008009153,0,0.5,0.004004577,-0.00311174,0.009664889
2020-08-09 00:00:00,0.003471,-0.015039728,0,0.5,-0.007519864,-0.018104668,0.002072347
2020-08-10 00:00:00,0.003505,0.009795448,0,0.5,0.004897724,-0.008486563,0.006980221
2020-08-11 00:00:00,0.003397,-0.030813124,0,0.5,-0.015406562,-0.03903819,-0.008533882
2020-08-12 00:00:00,0.003468,0.020900795,0,0.5,0.010450397,-0.018953324,0.001827332
2020-08-13 00:00:00,0.003491,0.006632065,0,0.5,0.003316032,-0.012446959,0.005149424
2020-08-14 00:00:00,0.003579,0.025207677,0,0.5,0.012603838,0.012446959,0.017818165
2020-08-15 00:00:00,0.003541,-0.010617491,0,0.5,-0.005308745,0.001697313,0.012414828
2020-08-16 00:00:00,0.003535,-0.001694437,0,0.5,-0.000847218,-6.66134E-16,0.011557091
2020-08-17 00:00:00,0.003589,0.015275813,0,0.5,0.007637907,0.015275813,0.01928327
2020-08-18 00:00:00,0.003476,-0.031485093,0,0.5,-0.015742547,-0.01669024,0.003237155
2020-08-19 00:00:00,0.003418,-0.016685846,0,0.5,-0.008342923,-0.033097595,-0.005132775
2020-08-20 00:00:00,0.003447,0.008484494,0,0.5,0.004242247,-0.024893918,-0.000912302
2020-08-21 00:00:00,0.003379,-0.019727299,0,0.5,-0.00986365,-0.044130127,-0.010766953
2020-08-22 00:00:00,0.003434,0.016277005,0,0.5,0.008138503,-0.028571429,-0.002716078
2020-08-23 00:00:00,0.003398,-0.010483401,0,0.5,-0.005241701,-0.038755304,-0.007943541
2020-08-24 00:00:00,0.00341,0.003531489,0,0.5,0.001765745,-0.035360679,-0.006191823
2020-08-25 00:00:00,0.003289,-0.035483871,0,0.5,-0.017741935,-0.069589816,-0.023823904
2020-08-26 00:00:00,0.003285,-0.001216175,0,0.5,-0.000608088,-0.070721358,-0.024417504
2020-08-27 00:00:00,0.003195,-0.02739726,0,0.5,-0.01369863,-0.096181047,-0.037781648
2020-08-28 00:00:00,0.003255,0.018779343,0,0.5,0.009389671,-0.079207921,-0.028746734
2020-08-29 00:00:00,0.003273,0.005529954,0,0.5,0.002764977,-0.074115983,-0.026061241
2020-08-30 00:00:00,0.003298,0.007638252,0,0.5,0.003819126,-0.067043847,-0.022341646
2020-08-31 00:00:00,0.00321,-0.026682838,0,0.5,-0.013341419,-0.091937765,-0.035384996
2020-09-01 00:00:00,0.003242,0.009968847,0,0.5,0.004984424,-0.082885431,-0.030576946
2020-09-02 00:00:00,0.003117,-0.038556447,0,0.5,-0.019278223,-0.11824611,-0.0492657
2020-09-03 00:00:00,0.00276,-0.114533205,0,0.5,-0.057266603,-0.219236209,-0.103711023
2020-09-04 00:00:00,0.002877,0.042391304,0,0.5,0.021195652,-0.186138614,-0.084713594
2020-09-05 00:00:00,0.00276,-0.040667362,0,0.5,-0.020333681,-0.219236209,-0.103324736
2020-09-06 00:00:00,0.002779,0.006884058,0,0.5,0.003442029,-0.213861386,-0.100238353
2020-09-07 00:00:00,0.002816,0.013314142,0,0.5,0.006657071,-0.203394625,-0.094248576
2020-09-08 00:00:00,0.002745,-0.025213068,0,0.5,-0.012606534,-0.223479491,-0.105666962
2020-09-09 00:00:00,0.002778,0.012021858,0,0.5,0.006010929,-0.214144272,-0.10029119
2020-09-10 00:00:00,0.002802,0.008639309,0,0.5,0.004319654,-0.207355021,-0.096404759
2020-09-11 00:00:00,0.002796,-0.002141328,0,0.5,-0.001070664,-0.209052334,-0.097372206
2020-09-12 00:00:00,0.002815,0.006795422,0,0.5,0.003397711,-0.203677511,-0.094305337
2020-09-13 00:00:00,0.002787,-0.009946714,0,0.5,-0.004973357,-0.211598303,-0.09880968
2020-09-14 00:00:00,0.002788,0.000358809,0,0.5,0.000179404,-0.211315417,-0.098648003
2020-09-15 00:00:00,0.002829,0.014705882,0,0.5,0.007352941,-0.199717115,-0.092020414
2020-09-16 00:00:00,0.002809,-0.007069636,0,0.5,-0.003534818,-0.205374823,-0.095229957
2020-09-17 00:00:00,0.002805,-0.001423994,0,0.5,-0.000711997,-0.206506365,-0.095874151
2020-09-18 00:00:00,0.002788,-0.006060606,0,0.5,-0.003030303,-0.211315417,-0.098613926
2020-09-19 00:00:00,0.002793,0.0017934,0,0.5,0.0008967,-0.20990099,-0.097805653
