date,close_price_ARBUSDT,return_ARBUSDT,signal_ARBUSDT,position_ARBUSDT,signal_return_ARBUSDT,cum_return_ARBUSDT,cum_signal_return_ARBUSDT
2023-03-23 00:00:00,1.3229,,0,0.5,,,
2023-03-24 00:00:00,1.2725,-0.038098118,0,0.5,-0.019049059,-0.038098118,-0.019049059
2023-03-25 00:00:00,1.218,-0.042829077,0,0.5,-0.021414538,-0.079295487,-0.04005567
2023-03-26 00:00:00,1.2816,0.052216749,0,0.5,0.026108374,-0.031219291,-0.014993084
2023-03-27 00:00:00,1.1645,-0.091370162,0,0.5,-0.045685081,-0.119736942,-0.059993205
2023-03-28 00:00:00,1.2202,0.047831687,0,0.5,0.023915844,-0.077632474,-0.03751215
2023-03-29 00:00:00,1.2252,0.004097689,0,0.5,0.002048844,-0.073852899,-0.035540162
2023-03-30 00:00:00,1.3798,0.12618348,0,0.5,0.06309174,0.043011566,0.025309288
2023-03-31 00:00:00,1.3899,0.007319901,0,0.5,0.003659951,0.050646307,0.029061869
2023-04-01 00:00:00,1.2928,-0.069861141,0,0.5,-0.034930571,-0.022753043,-0.006883849
2023-04-02 00:00:00,1.2004,-0.071472772,0,0.5,-0.035736386,-0.092599592,-0.042374231
2023-04-03 00:00:00,1.1521,-0.040236588,0,0.5,-0.020118294,-0.129110288,-0.061640028
2023-04-04 00:00:00,1.2337,0.070827185,0,0.5,0.035413593,-0.067427621,-0.02840933
2023-04-05 00:00:00,1.2418,0.006565616,0,0.5,0.003282808,-0.061304709,-0.025219785
2023-04-06 00:00:00,1.2145,-0.021984216,0,0.5,-0.010992108,-0.08194119,-0.035934674
2023-04-07 00:00:00,1.1963,-0.014985591,0,0.5,-0.007492795,-0.095698843,-0.043158219
2023-04-08 00:00:00,1.1615,-0.029089693,0,0.5,-0.014544847,-0.122004687,-0.057075336
2023-04-09 00:00:00,1.1809,0.01670254,0,0.5,0.00835127,-0.107339935,-0.049200717
2023-04-10 00:00:00,1.2421,0.051824879,0,0.5,0.02591244,-0.061077935,-0.024563188
2023-04-11 00:00:00,1.2164,-0.020690766,0,0.5,-0.010345383,-0.080504951,-0.034654455
2023-04-12 00:00:00,1.1929,-0.019319303,0,0.5,-0.009659651,-0.098268955,-0.043979357
2023-04-13 00:00:00,1.3686,0.147288121,0,0.5,0.073644061,0.034545317,0.026425885
2023-04-14 00:00:00,1.6984,0.24097618,0,0.5,0.12048809,0.283846096,0.15009798
2023-04-15 00:00:00,1.6548,-0.02567122,0,0.5,-0.01283561,0.2508882,0.135335771
2023-04-16 00:00:00,1.6969,0.025441141,0,0.5,0.01272057,0.282712223,0.149777889
2023-04-17 00:00:00,1.61,-0.051211032,0,0.5,-0.025605516,0.217023207,0.120337233
2023-04-18 00:00:00,1.6739,0.039689441,0,0.5,0.01984472,0.265326177,0.142570013
2023-04-19 00:00:00,1.4882,-0.110938527,0,0.5,-0.055469263,0.124952755,0.079192496
2023-04-20 00:00:00,1.4416,-0.031312996,0,0.5,-0.015656498,0.089727115,0.062296121
2023-04-21 00:00:00,1.4709,0.020324639,0,0.5,0.01016232,0.111875425,0.073091513
2023-04-22 00:00:00,1.4643,-0.004487049,0,0.5,-0.002243524,0.106886386,0.070684006
2023-04-23 00:00:00,1.3396,-0.085160145,0,0.5,-0.042580072,0.012623781,0.025094204
2023-04-24 00:00:00,1.3376,-0.001492983,0,0.5,-0.000746491,0.011111951,0.02432898
2023-04-25 00:00:00,1.3787,0.030726675,0,0.5,0.015363337,0.042180059,0.040066091
2023-04-26 00:00:00,1.3834,0.003409008,0,0.5,0.001704504,0.04573286,0.041838889
2023-04-27 00:00:00,1.4226,0.028335984,0,0.5,0.014167992,0.075364729,0.056599653
2023-04-28 00:00:00,1.3795,-0.03029664,0,0.5,-0.01514832,0.042784791,0.040593944
2023-04-29 00:00:00,1.3668,-0.009206234,0,0.5,-0.004603117,0.03318467,0.035803968
2023-04-30 00:00:00,1.3673,0.000365818,0,0.5,0.000182909,0.033562628,0.035993426
2023-05-01 00:00:00,1.3179,-0.036129598,0,0.5,-0.018064799,-0.003779575,0.017278413
2023-05-02 00:00:00,1.3477,0.022611731,0,0.5,0.011305865,0.018746693,0.028779625
2023-05-03 00:00:00,1.342,-0.004229428,0,0.5,-0.002114714,0.014437977,0.026604051
2023-05-04 00:00:00,1.3181,-0.01780924,0,0.5,-0.00890462,-0.003628392,0.017462532
2023-05-05 00:00:00,1.3552,0.028146575,0,0.5,0.014073287,0.024416056,0.031781574
2023-05-06 00:00:00,1.2389,-0.085817591,0,0.5,-0.042908796,-0.063496863,-0.01249093
2023-05-07 00:00:00,1.2189,-0.016143353,0,0.5,-0.008071676,-0.078615164,-0.020461784
2023-05-08 00:00:00,1.0939,-0.102551481,0,0.5,-0.05127574,-0.173104543,-0.070688331
2023-05-09 00:00:00,1.1024,0.007770363,0,0.5,0.003885181,-0.166679265,-0.067077787
2023-05-10 00:00:00,1.1699,0.061230044,0,0.5,0.030615022,-0.115655,-0.038516353
2023-05-11 00:00:00,1.0881,-0.069920506,0,0.5,-0.034960253,-0.17748885,-0.072130065
2023-05-12 00:00:00,1.1713,0.07646356,0,0.5,0.03823178,-0.114596719,-0.036655945
2023-05-13 00:00:00,1.1691,-0.001878255,0,0.5,-0.000939127,-0.116259732,-0.037560648
2023-05-14 00:00:00,1.1699,0.000684287,0,0.5,0.000342144,-0.115655,-0.037231356
2023-05-15 00:00:00,1.1878,0.015300453,0,0.5,0.007650227,-0.102124121,-0.029865958
2023-05-16 00:00:00,1.1796,-0.006903519,0,0.5,-0.00345176,-0.108322625,-0.033214627
2023-05-17 00:00:00,1.1979,0.015513733,0,0.5,0.007756867,-0.094489379,-0.025715402
2023-05-18 00:00:00,1.1551,-0.035729193,0,0.5,-0.017864596,-0.126842543,-0.043120603
2023-05-19 00:00:00,1.1628,0.00666609,0,0.5,0.003333045,-0.121021997,-0.039931281
2023-05-20 00:00:00,1.1631,0.000257998,0,0.5,0.000128999,-0.120795223,-0.039807433
2023-05-21 00:00:00,1.1267,-0.031295675,0,0.5,-0.015647838,-0.14831053,-0.05483237
2023-05-22 00:00:00,1.125,-0.001508831,0,0.5,-0.000754416,-0.149595585,-0.05554542
2023-05-23 00:00:00,1.1663,0.036711111,0,0.5,0.018355556,-0.118376295,-0.038209431
2023-05-24 00:00:00,1.1086,-0.049472691,0,0.5,-0.024736346,-0.161992592,-0.062000615
2023-05-25 00:00:00,1.106,-0.0023453,0,0.5,-0.00117265,-0.163957971,-0.06310056
2023-05-26 00:00:00,1.1572,0.046292948,0,0.5,0.023146474,-0.125255121,-0.041414642
2023-05-27 00:00:00,1.1714,0.012270999,0,0.5,0.006135499,-0.114521128,-0.035533242
2023-05-28 00:00:00,1.2473,0.064794263,0,0.5,0.032397132,-0.057147177,-0.004287285
2023-05-29 00:00:00,1.2259,-0.017157059,0,0.5,-0.00857853,-0.073323758,-0.012829036
2023-05-30 00:00:00,1.2174,-0.006933681,0,0.5,-0.003466841,-0.079749036,-0.016251401
2023-05-31 00:00:00,1.1599,-0.047231805,0,0.5,-0.023615903,-0.123214151,-0.039483512
2023-06-01 00:00:00,1.1453,-0.012587292,0,0.5,-0.006293646,-0.13425051,-0.045528663
2023-06-02 00:00:00,1.2403,0.082947699,0,0.5,0.04147385,-0.062438582,-0.005943062
2023-06-03 00:00:00,1.2152,-0.020237039,0,0.5,-0.01011852,-0.081412049,-0.016001447
2023-06-04 00:00:00,1.2063,-0.007323897,0,0.5,-0.003661949,-0.088139693,-0.019604799
2023-06-05 00:00:00,1.1347,-0.059355053,0,0.5,-0.029677526,-0.14226321,-0.048700503
2023-06-06 00:00:00,1.1889,0.047765929,0,0.5,0.023882965,-0.101292615,-0.025980651
2023-06-07 00:00:00,1.1252,-0.053578939,0,0.5,-0.026789469,-0.149444402,-0.052074113
2023-06-08 00:00:00,1.1279,0.002399573,0,0.5,0.001199787,-0.147403432,-0.050936804
2023-06-09 00:00:00,1.131,0.002748471,0,0.5,0.001374235,-0.145060095,-0.049632568
2023-06-10 00:00:00,0.9924,-0.122546419,0,0.5,-0.06127321,-0.249829919,-0.10786463
2023-06-11 00:00:00,0.9914,-0.001007658,0,0.5,-0.000503829,-0.250585834,-0.108314114
2023-06-12 00:00:00,0.9782,-0.013314505,0,0.5,-0.006657252,-0.260563913,-0.114250292
2023-06-13 00:00:00,0.9925,0.014618687,0,0.5,0.007309344,-0.249754328,-0.107776043
2023-06-14 00:00:00,0.9412,-0.051687657,0,0.5,-0.025843829,-0.288532769,-0.130834526
2023-06-15 00:00:00,0.9496,0.008924777,0,0.5,0.004462388,-0.282183083,-0.126955972
2023-06-16 00:00:00,0.9749,0.026642797,0,0.5,0.013321398,-0.263058432,-0.115325805
2023-06-17 00:00:00,0.9937,0.019284029,0,0.5,0.009642015,-0.24884723,-0.106795763
2023-06-18 00:00:00,0.9938,0.000100634,0,0.5,5.0317E-05,-0.248771638,-0.10675082
2023-06-19 00:00:00,1.0069,0.013181727,0,0.5,0.006590863,-0.238869151,-0.100863537
