date,close_price_1000PEPEUSDT,return_1000PEPEUSDT,signal_1000PEPEUSDT,position_1000PEPEUSDT,signal_return_1000PEPEUSDT,cum_return_1000PEPEUSDT,cum_signal_return_1000PEPEUSDT
2023-05-05 00:00:00,0.0037211,,0,0.5,,,
2023-05-06 00:00:00,0.00262,-0.295907124,0,0.5,-0.147953562,-0.295907124,-0.147953562
2023-05-07 00:00:00,0.0027902,0.064961832,0,0.5,0.032480916,-0.250167961,-0.120278313
2023-05-08 00:00:00,0.0019464,-0.302415597,0,0.5,-0.151207799,-0.476928865,-0.253299093
2023-05-09 00:00:00,0.0020063,0.030774764,0,0.5,0.015387382,-0.460831475,-0.241809321
2023-05-10 00:00:00,0.0019195,-0.043263719,0,0.5,-0.02163186,-0.48415791,-0.258210395
2023-05-11 00:00:00,0.0013931,-0.274238083,0,0.5,-0.137119041,-0.625621456,-0.359923875
2023-05-12 00:00:00,0.0017444,0.252171416,0,0.5,0.126085708,-0.531213888,-0.279219423
2023-05-13 00:00:00,0.0018575,0.064836047,0,0.5,0.032418023,-0.50081965,-0.255853142
2023-05-14 00:00:00,0.0017853,-0.038869448,0,0.5,-0.019434724,-0.520222515,-0.270315431
2023-05-15 00:00:00,0.0017318,-0.029966952,0,0.5,-0.014983476,-0.534599984,-0.281248642
2023-05-16 00:00:00,0.0016643,-0.038976787,0,0.5,-0.019488394,-0.552739781,-0.295255951
2023-05-17 00:00:00,0.0015735,-0.054557472,0,0.5,-0.027278736,-0.577141168,-0.314480478
2023-05-18 00:00:00,0.0015789,0.00343184,0,0.5,0.00171592,-0.575689984,-0.313304182
2023-05-19 00:00:00,0.001523,-0.035404395,0,0.5,-0.017702198,-0.590712424,-0.325460207
2023-05-20 00:00:00,0.0017145,0.125738674,0,0.5,0.062869337,-0.539249147,-0.283052337
2023-05-21 00:00:00,0.0015964,-0.068883056,0,0.5,-0.034441528,-0.570987074,-0.30774511
2023-05-22 00:00:00,0.0015302,-0.041468304,0,0.5,-0.020734152,-0.588777512,-0.322098428
2023-05-23 00:00:00,0.0015916,0.040125474,0,0.5,0.020062737,-0.572277015,-0.308497867
2023-05-24 00:00:00,0.0014333,-0.099459663,0,0.5,-0.049729832,-0.614818199,-0.342886152
2023-05-25 00:00:00,0.0014289,-0.003069839,0,0.5,-0.001534919,-0.616000645,-0.343894769
2023-05-26 00:00:00,0.0014518,0.016026314,0,0.5,0.008013157,-0.609846551,-0.338637295
2023-05-27 00:00:00,0.0015131,0.042223447,0,0.5,0.021111723,-0.593372927,-0.324674788
2023-05-28 00:00:00,0.0014951,-0.011896107,0,0.5,-0.005948054,-0.598210207,-0.328691659
2023-05-29 00:00:00,0.0014358,-0.039662899,0,0.5,-0.019831449,-0.614146355,-0.342004676
2023-05-30 00:00:00,0.0012935,-0.099108511,0,0.5,-0.049554255,-0.652387735,-0.374611145
2023-05-31 00:00:00,0.0012636,-0.023115578,0,0.5,-0.011557789,-0.660422993,-0.381839257
2023-06-01 00:00:00,0.0012454,-0.014403292,0,0.5,-0.007201646,-0.66531402,-0.386291032
2023-06-02 00:00:00,0.0012821,0.029468444,0,0.5,0.014734222,-0.655451345,-0.377248508
2023-06-03 00:00:00,0.0012949,0.009983621,0,0.5,0.00499181,-0.652011502,-0.37413985
2023-06-04 00:00:00,0.0012384,-0.043632713,0,0.5,-0.021816356,-0.667195184,-0.387793839
2023-06-05 00:00:00,0.0010333,-0.165616925,0,0.5,-0.082808463,-0.722313294,-0.438489689
2023-06-06 00:00:00,0.0012066,0.167715088,0,0.5,0.083857544,-0.675741044,-0.391402814
2023-06-07 00:00:00,0.0010728,-0.110890104,0,0.5,-0.055445052,-0.711698154,-0.425146517
2023-06-08 00:00:00,0.0010833,0.009787472,0,0.5,0.004893736,-0.708876408,-0.422333336
2023-06-09 00:00:00,0.0011337,0.046524508,0,0.5,0.023262254,-0.695332025,-0.408895507
2023-06-10 00:00:00,0.0009292,-0.180382817,0,0.5,-0.090191409,-0.750288893,-0.462208054
2023-06-11 00:00:00,0.0009119,-0.018618166,0,0.5,-0.009309083,-0.754938056,-0.467214404
2023-06-12 00:00:00,0.0009042,-0.008443908,0,0.5,-0.004221954,-0.757007337,-0.4694638
2023-06-13 00:00:00,0.000917,0.01415616,0,0.5,0.00707808,-0.753567493,-0.465708622
2023-06-14 00:00:00,0.0008852,-0.034678299,0,0.5,-0.017339149,-0.762113354,-0.47497278
2023-06-15 00:00:00,0.0008969,0.013217352,0,0.5,0.006608676,-0.758969122,-0.471503046
2023-06-16 00:00:00,0.0009655,0.076485673,0,0.5,0.038242836,-0.740533713,-0.451291823
2023-06-17 00:00:00,0.0010003,0.036043501,0,0.5,0.01802175,-0.73118164,-0.441403141
2023-06-18 00:00:00,0.0009373,-0.062981106,0,0.5,-0.031490553,-0.748112117,-0.458993665
2023-06-19 00:00:00,0.000949,0.012482663,0,0.5,0.006241331,-0.744967886,-0.455617065
2023-06-20 00:00:00,0.0010691,0.126554268,0,0.5,0.063277134,-0.712692483,-0.421170073
2023-06-21 00:00:00,0.0013806,0.29136657,0,0.5,0.145683285,-0.628980678,-0.336844228
2023-06-22 00:00:00,0.0015433,0.117847313,0,0.5,0.058923656,-0.585257048,-0.297768665
2023-06-23 00:00:00,0.0016519,0.07036869,0,0.5,0.035184345,-0.556072129,-0.273061116
2023-06-24 00:00:00,0.0015531,-0.059809916,0,0.5,-0.029904958,-0.582623418,-0.294800192
2023-06-25 00:00:00,0.0016044,0.033030713,0,0.5,0.016515356,-0.568837172,-0.283153566
2023-06-26 00:00:00,0.0015086,-0.059710795,0,0.5,-0.029855398,-0.594582247,-0.304555302
2023-06-27 00:00:00,0.001618,0.072517566,0,0.5,0.036258783,-0.565182339,-0.279339323
2023-06-28 00:00:00,0.0014206,-0.122002472,0,0.5,-0.061001236,-0.618231168,-0.323300515
2023-06-29 00:00:00,0.0015419,0.085386456,0,0.5,0.042693228,-0.58563328,-0.29441003
2023-06-30 00:00:00,0.0016215,0.051624619,0,0.5,0.025812309,-0.564241756,-0.276197123
2023-07-01 00:00:00,0.0015552,-0.040888067,0,0.5,-0.020444033,-0.582059069,-0.290994573
2023-07-02 00:00:00,0.0015842,0.018647119,0,0.5,0.00932356,-0.574265674,-0.284384119
2023-07-03 00:00:00,0.0018343,0.157871481,0,0.5,0.07893574,-0.507054366,-0.227896449
2023-07-04 00:00:00,0.0017125,-0.066401352,0,0.5,-0.033200676,-0.539786622,-0.253530809
2023-07-05 00:00:00,0.0016512,-0.03579562,0,0.5,-0.01789781,-0.556260246,-0.266890973
2023-07-06 00:00:00,0.0015395,-0.067647771,0,0.5,-0.033823886,-0.586278251,-0.291687569
2023-07-07 00:00:00,0.0015638,0.015784346,0,0.5,0.007892173,-0.579747924,-0.286097445
2023-07-08 00:00:00,0.0015518,-0.007673616,0,0.5,-0.003836808,-0.582972777,-0.288836552
2023-07-09 00:00:00,0.0015438,-0.005155304,0,0.5,-0.002577652,-0.585122679,-0.290669683
2023-07-10 00:00:00,0.0015135,-0.019626895,0,0.5,-0.009813447,-0.593265432,-0.297630659
2023-07-11 00:00:00,0.0015001,-0.00885365,0,0.5,-0.004426825,-0.596866518,-0.300739925
2023-07-12 00:00:00,0.0015056,0.003666422,0,0.5,0.001833211,-0.59538846,-0.299458034
2023-07-13 00:00:00,0.0017128,0.137619554,0,0.5,0.068809777,-0.539706001,-0.251253898
2023-07-14 00:00:00,0.0016398,-0.042620271,0,0.5,-0.021310135,-0.559323856,-0.267209779
2023-07-15 00:00:00,0.0016438,0.002439322,0,0.5,0.001219661,-0.558248905,-0.266316023
2023-07-16 00:00:00,0.0015727,-0.043253437,0,0.5,-0.021626719,-0.577356158,-0.2821832
2023-07-17 00:00:00,0.0015748,0.001335283,0,0.5,0.000667642,-0.576791809,-0.281703956
2023-07-18 00:00:00,0.0015148,-0.038100076,0,0.5,-0.019050038,-0.592916073,-0.295387523
2023-07-19 00:00:00,0.0015244,0.00633747,0,0.5,0.003168735,-0.590336191,-0.293154792
