date,close_price_TRXUSDT,return_TRXUSDT,signal_TRXUSDT,position_TRXUSDT,signal_return_TRXUSDT,cum_return_TRXUSDT,cum_signal_return_TRXUSDT
2020-01-15 00:00:00,0.01734,,0,0.5,,,
2020-01-16 00:00:00,0.01731,-0.001730104,0,0.5,-0.000865052,-0.001730104,-0.000865052
2020-01-17 00:00:00,0.01761,0.017331023,0,0.5,0.008665511,0.015570934,0.007792963
2020-01-18 00:00:00,0.0177,0.005110733,0,0.5,0.002555366,0.020761246,0.010368243
2020-01-19 00:00:00,0.01666,-0.058757062,0,0.5,-0.029378531,-0.039215686,-0.019314891
2020-01-20 00:00:00,0.01663,-0.00180072,0,0.5,-0.00090036,-0.04094579,-0.020197861
2020-01-21 00:00:00,0.01733,0.042092604,0,0.5,0.021046302,-0.000576701,0.00042335
2020-01-22 00:00:00,0.01742,0.005193306,0,0.5,0.002596653,0.00461361,0.003021103
2020-01-23 00:00:00,0.0163,-0.064293915,0,0.5,-0.032146958,-0.059976932,-0.029222974
2020-01-24 00:00:00,0.01638,0.004907975,0,0.5,0.002453988,-0.055363322,-0.026840699
2020-01-25 00:00:00,0.01612,-0.015873016,0,0.5,-0.007936508,-0.070357555,-0.034564186
2020-01-26 00:00:00,0.01683,0.044044665,0,0.5,0.022022333,-0.029411765,-0.013303037
2020-01-27 00:00:00,0.01711,0.016636958,0,0.5,0.008318479,-0.013264129,-0.005095219
2020-01-28 00:00:00,0.01862,0.088252484,0,0.5,0.044126242,0.073817762,0.03880619
2020-01-29 00:00:00,0.01866,0.002148228,0,0.5,0.001074114,0.076124567,0.039921986
2020-01-30 00:00:00,0.01953,0.046623794,0,0.5,0.023311897,0.126297578,0.06416454
2020-01-31 00:00:00,0.0187,-0.04249872,0,0.5,-0.02124936,0.078431373,0.041551725
2020-02-01 00:00:00,0.0191,0.021390374,0,0.5,0.010695187,0.101499423,0.052691316
2020-02-02 00:00:00,0.0191,0,0,0.5,0,0.101499423,0.052691316
2020-02-03 00:00:00,0.01921,0.005759162,0,0.5,0.002879581,0.107843137,0.055722626
2020-02-04 00:00:00,0.01929,0.004164498,0,0.5,0.002082249,0.112456747,0.057920903
2020-02-05 00:00:00,0.02078,0.077242094,0,0.5,0.038621047,0.198385236,0.098778916
2020-02-06 00:00:00,0.02273,0.093840231,0,0.5,0.046920115,0.310841984,0.15033375
2020-02-07 00:00:00,0.02209,-0.028156621,0,0.5,-0.014078311,0.273933103,0.134138994
2020-02-08 00:00:00,0.02185,-0.010864645,0,0.5,-0.005432322,0.260092272,0.127977985
2020-02-09 00:00:00,0.02211,0.011899314,0,0.5,0.005949657,0.275086505,0.134689067
2020-02-10 00:00:00,0.02216,0.00226142,0,0.5,0.00113071,0.277970012,0.135972071
2020-02-11 00:00:00,0.02278,0.027978339,0,0.5,0.01398917,0.31372549,0.151863378
2020-02-12 00:00:00,0.02399,0.053116769,0,0.5,0.026558385,0.383506344,0.182455008
2020-02-13 00:00:00,0.02397,-0.000833681,0,0.5,-0.00041684,0.382352941,0.181962113
2020-02-14 00:00:00,0.02642,0.102211097,0,0.5,0.051105549,0.523644752,0.242366935
2020-02-15 00:00:00,0.02366,-0.104466313,0,0.5,-0.052233157,0.364475202,0.177474189
2020-02-16 00:00:00,0.02227,-0.058748943,0,0.5,-0.029374472,0.284313725,0.142886506
2020-02-17 00:00:00,0.02181,-0.02065559,0,0.5,-0.010327795,0.257785467,0.131083008
2020-02-18 00:00:00,0.02265,0.038514443,0,0.5,0.019257221,0.306228374,0.152864524
2020-02-19 00:00:00,0.02019,-0.108609272,0,0.5,-0.054304636,0.164359862,0.090258636
2020-02-20 00:00:00,0.01982,-0.018325904,0,0.5,-0.009162952,0.143021915,0.080268649
2020-02-21 00:00:00,0.02017,0.01765893,0,0.5,0.008829465,0.163206459,0.089806843
2020-02-22 00:00:00,0.02003,-0.006941001,0,0.5,-0.003470501,0.155132641,0.086024668
2020-02-23 00:00:00,0.02138,0.067398902,0,0.5,0.033699451,0.232987313,0.122623103
2020-02-24 00:00:00,0.01992,-0.06828812,0,0.5,-0.03414406,0.148788927,0.084292192
2020-02-25 00:00:00,0.01894,-0.049196787,0,0.5,-0.024598394,0.092272203,0.057620346
2020-02-26 00:00:00,0.01636,-0.136219641,0,0.5,-0.06810982,-0.056516724,-0.014413986
2020-02-27 00:00:00,0.01701,0.039731051,0,0.5,0.019865526,-0.019031142,0.005165199
2020-02-28 00:00:00,0.01713,0.007054674,0,0.5,0.003527337,-0.012110727,0.008710755
2020-02-29 00:00:00,0.01648,-0.037945126,0,0.5,-0.018972563,-0.049596309,-0.010427073
2020-03-01 00:00:00,0.01644,-0.002427184,0,0.5,-0.001213592,-0.051903114,-0.011628011
2020-03-02 00:00:00,0.0176,0.070559611,0,0.5,0.035279805,0.014994233,0.02324156
2020-03-03 00:00:00,0.01724,-0.020454545,0,0.5,-0.010227273,-0.005767013,0.01277659
2020-03-04 00:00:00,0.01775,0.029582367,0,0.5,0.014791183,0.023644752,0.027756754
2020-03-05 00:00:00,0.01792,0.009577465,0,0.5,0.004788732,0.033448674,0.032678406
2020-03-06 00:00:00,0.01835,0.023995536,0,0.5,0.011997768,0.058246828,0.045068242
2020-03-07 00:00:00,0.01702,-0.072479564,0,0.5,-0.036239782,-0.018454441,0.007195196
2020-03-08 00:00:00,0.01466,-0.1386604,0,0.5,-0.0693302,-0.15455594,-0.062633848
2020-03-09 00:00:00,0.01503,0.025238745,0,0.5,0.012619372,-0.133217993,-0.050804875
2020-03-10 00:00:00,0.01509,0.003992016,0,0.5,0.001996008,-0.129757785,-0.048910274
2020-03-11 00:00:00,0.0149,-0.01259112,0,0.5,-0.00629556,-0.14071511,-0.054897917
2020-03-12 00:00:00,0.00837,-0.438255034,0,0.5,-0.219127517,-0.517301038,-0.261995789
2020-03-13 00:00:00,0.01027,0.227001195,0,0.5,0.113500597,-0.407727797,-0.17823187
2020-03-14 00:00:00,0.00971,-0.054527751,0,0.5,-0.027263875,-0.440023068,-0.200636454
2020-03-15 00:00:00,0.01025,0.05561277,0,0.5,0.027806385,-0.4088812,-0.178409044
2020-03-16 00:00:00,0.00958,-0.065365854,0,0.5,-0.032682927,-0.447520185,-0.205261041
2020-03-17 00:00:00,0.01001,0.044885177,0,0.5,0.022442589,-0.42272203,-0.187425041
2020-03-18 00:00:00,0.01023,0.021978022,0,0.5,0.010989011,-0.410034602,-0.178495646
2020-03-19 00:00:00,0.01164,0.137829912,0,0.5,0.068914956,-0.328719723,-0.12188171
2020-03-20 00:00:00,0.01126,-0.032646048,0,0.5,-0.016323024,-0.350634371,-0.136215256
2020-03-21 00:00:00,0.01124,-0.001776199,0,0.5,-0.000888099,-0.351787774,-0.136982382
2020-03-22 00:00:00,0.01029,-0.084519573,0,0.5,-0.042259786,-0.406574394,-0.173453323
2020-03-23 00:00:00,0.01135,0.103012634,0,0.5,0.051506317,-0.34544406,-0.130880948
2020-03-24 00:00:00,0.01151,0.014096916,0,0.5,0.007048458,-0.33621684,-0.124754998
2020-03-25 00:00:00,0.01137,-0.012163336,0,0.5,-0.006081668,-0.344290657,-0.130077948
2020-03-26 00:00:00,0.01195,0.051011434,0,0.5,0.025505717,-0.310841984,-0.107889962
2020-03-27 00:00:00,0.01118,-0.064435146,0,0.5,-0.032217573,-0.355247982,-0.136631583
2020-03-28 00:00:00,0.0114,0.019677996,0,0.5,0.009838998,-0.342560554,-0.128136903
2020-03-29 00:00:00,0.01066,-0.064912281,0,0.5,-0.03245614,-0.385236448,-0.156434214
2020-03-30 00:00:00,0.01146,0.075046904,0,0.5,0.037523452,-0.339100346,-0.124780713
2020-03-31 00:00:00,0.0116,0.012216405,0,0.5,0.006108202,-0.331026528,-0.119434697
2020-04-01 00:00:00,0.01156,-0.003448276,0,0.5,-0.001724138,-0.333333333,-0.120952913
2020-04-02 00:00:00,0.01196,0.034602076,0,0.5,0.017301038,-0.310265283,-0.105744486
2020-04-03 00:00:00,0.01194,-0.001672241,0,0.5,-0.00083612,-0.311418685,-0.106492191
2020-04-04 00:00:00,0.01199,0.004187605,0,0.5,0.002093802,-0.308535179,-0.104621362
2020-04-05 00:00:00,0.01257,0.048373645,0,0.5,0.024186822,-0.275086505,-0.082964998
2020-04-06 00:00:00,0.01375,0.093874304,0,0.5,0.046937152,-0.207035755,-0.039921987
2020-04-07 00:00:00,0.01329,-0.033454545,0,0.5,-0.016727273,-0.233564014,-0.055981474
2020-04-08 00:00:00,0.01377,0.036117381,0,0.5,0.018058691,-0.205882353,-0.038933735
2020-04-09 00:00:00,0.01343,-0.024691358,0,0.5,-0.012345679,-0.225490196,-0.050798751
2020-04-10 00:00:00,0.01245,-0.072970961,0,0.5,-0.03648548,-0.28200692,-0.085430814
2020-04-11 00:00:00,0.01249,0.003212851,0,0.5,0.001606426,-0.279700115,-0.083961627
2020-04-12 00:00:00,0.01268,0.01521217,0,0.5,0.007606085,-0.268742791,-0.076994161
2020-04-13 00:00:00,0.01255,-0.010252366,0,0.5,-0.005126183,-0.276239908,-0.081725658
2020-04-14 00:00:00,0.01244,-0.00876494,0,0.5,-0.00438247,-0.282583622,-0.085749968
2020-04-15 00:00:00,0.01217,-0.02170418,0,0.5,-0.01085209,-0.298154556,-0.095671491
2020-04-16 00:00:00,0.01303,0.070665571,0,0.5,0.035332786,-0.248558247,-0.063719046
2020-04-17 00:00:00,0.01287,-0.012279355,0,0.5,-0.006139678,-0.257785467,-0.069467509
2020-04-18 00:00:00,0.01337,0.038850039,0,0.5,0.019425019,-0.228950404,-0.051391898
2020-04-19 00:00:00,0.0129,-0.035153328,0,0.5,-0.017576664,-0.256055363,-0.068065264
2020-04-20 00:00:00,0.01238,-0.040310078,0,0.5,-0.020155039,-0.286043829,-0.086848444
2020-04-21 00:00:00,0.01249,0.008885299,0,0.5,0.004442649,-0.279700115,-0.082791632
2020-04-22 00:00:00,0.01298,0.039231385,0,0.5,0.019615693,-0.251441753,-0.064799955
2020-04-23 00:00:00,0.01362,0.049306626,0,0.5,0.024653313,-0.214532872,-0.041744176
2020-04-24 00:00:00,0.01393,0.022760646,0,0.5,0.011380323,-0.196655133,-0.030838915
2020-04-25 00:00:00,0.01396,0.002153625,0,0.5,0.001076813,-0.194925029,-0.02979531
2020-04-26 00:00:00,0.01425,0.020773639,0,0.5,0.010386819,-0.178200692,-0.019717969
2020-04-27 00:00:00,0.01453,0.019649123,0,0.5,0.009824561,-0.162053057,-0.010087128
2020-04-28 00:00:00,0.01527,0.050929112,0,0.5,0.025464556,-0.119377163,0.015120564
2020-04-29 00:00:00,0.01625,0.064178127,0,0.5,0.032089064,-0.062860438,0.047694832
2020-04-30 00:00:00,0.01519,-0.065230769,0,0.5,-0.032615385,-0.123990773,0.013523862
2020-05-01 00:00:00,0.01582,0.041474654,0,0.5,0.020737327,-0.087658593,0.034541638
2020-05-02 00:00:00,0.01635,0.033501896,0,0.5,0.016750948,-0.057093426,0.051871192
2020-05-03 00:00:00,0.01599,-0.022018349,0,0.5,-0.011009174,-0.077854671,0.040290958
2020-05-04 00:00:00,0.01621,0.013758599,0,0.5,0.0068793,-0.065167243,0.047447432
2020-05-05 00:00:00,0.01591,-0.018507094,0,0.5,-0.009253547,-0.082468281,0.037754827
2020-05-06 00:00:00,0.01556,-0.021998743,0,0.5,-0.010999371,-0.102652826,0.026340176
2020-05-07 00:00:00,0.01605,0.031491003,0,0.5,0.015745501,-0.074394464,0.042500417
2020-05-08 00:00:00,0.01631,0.016199377,0,0.5,0.008099688,-0.059400231,0.050944346
2020-05-09 00:00:00,0.0161,-0.012875536,0,0.5,-0.006437768,-0.071510957,0.04417861
2020-05-10 00:00:00,0.01425,-0.114906832,0,0.5,-0.057453416,-0.178200692,-0.015813019
2020-05-11 00:00:00,0.01399,-0.018245614,0,0.5,-0.009122807,-0.193194925,-0.024791567
2020-05-12 00:00:00,0.01458,0.042172981,0,0.5,0.02108649,-0.15916955,-0.004227843
2020-05-13 00:00:00,0.01499,0.028120713,0,0.5,0.014060357,-0.135524798,0.009773068
2020-05-14 00:00:00,0.01529,0.020013342,0,0.5,0.010006671,-0.11822376,0.019877535
2020-05-15 00:00:00,0.0149,-0.025506867,0,0.5,-0.012753434,-0.14071511,0.006870595
2020-05-16 00:00:00,0.01498,0.005369128,0,0.5,0.002684564,-0.136101499,0.009573603
2020-05-17 00:00:00,0.015,0.001335113,0,0.5,0.000667557,-0.134948097,0.010247551
2020-05-18 00:00:00,0.01539,0.026,0,0.5,0.013,-0.112456747,0.023380769
2020-05-19 00:00:00,0.01553,0.009096816,0,0.5,0.004548408,-0.10438293,0.028035522
2020-05-20 00:00:00,0.015,-0.034127495,0,0.5,-0.017063748,-0.134948097,0.010493384
2020-05-21 00:00:00,0.01421,-0.052666667,0,0.5,-0.026333333,-0.180507497,-0.016116275
2020-05-22 00:00:00,0.01485,0.045038705,0,0.5,0.022519353,-0.143598616,0.006040149
2020-05-23 00:00:00,0.01499,0.009427609,0,0.5,0.004713805,-0.135524798,0.010782426
2020-05-24 00:00:00,0.0142,-0.052701801,0,0.5,-0.026350901,-0.181084198,-0.015852601
2020-05-25 00:00:00,0.01472,0.036619718,0,0.5,0.018309859,-0.151095732,0.002166999
2020-05-26 00:00:00,0.01457,-0.010190217,0,0.5,-0.005095109,-0.159746251,-0.002939151
2020-05-27 00:00:00,0.0147,0.008922443,0,0.5,0.004461222,-0.152249135,0.001508959
2020-05-28 00:00:00,0.01514,0.029931973,-1,0,0.014965986,-0.126874279,0.016497528
2020-05-29 00:00:00,0.01501,-0.008586526,-1,0,0,-0.134371396,0.016497528
2020-05-30 00:00:00,0.01638,0.091272485,0,0.5,0,-0.055363322,0.016497528
2020-05-31 00:00:00,0.01584,-0.032967033,0,0.5,-0.016483516,-0.08650519,-0.000257926
2020-06-01 00:00:00,0.01709,0.078914141,0,0.5,0.039457071,-0.014417532,0.039188968
2020-06-02 00:00:00,0.01638,-0.041544763,0,0.5,-0.020772382,-0.055363322,0.017602538
2020-06-03 00:00:00,0.01694,0.034188034,0,0.5,0.017094017,-0.023068051,0.034997453
2020-06-04 00:00:00,0.01687,-0.004132231,0,0.5,-0.002066116,-0.02710496,0.032859029
2020-06-05 00:00:00,0.01686,-0.000592768,0,0.5,-0.000296384,-0.027681661,0.032552906
2020-06-06 00:00:00,0.01705,0.011269276,0,0.5,0.005634638,-0.016724337,0.038370968
2020-06-07 00:00:00,0.01819,0.06686217,0,0.5,0.033431085,0.049019608,0.073084836
2020-06-08 00:00:00,0.01795,-0.013194063,0,0.5,-0.006597031,0.035178777,0.066005662
2020-06-09 00:00:00,0.01756,-0.021727019,0,0.5,-0.01086351,0.012687428,0.054425099
2020-06-10 00:00:00,0.01762,0.003416856,0,0.5,0.001708428,0.016147636,0.056226509
2020-06-11 00:00:00,0.01574,-0.106696935,0,0.5,-0.053348468,-0.092272203,-0.000121557
2020-06-12 00:00:00,0.01644,0.044472681,0,0.5,0.022236341,-0.051903114,0.02211208
2020-06-13 00:00:00,0.0167,0.015815085,0,0.5,0.007907543,-0.036908881,0.030194475
