date,close_price_AVAXUSDT,return_AVAXUSDT,signal_AVAXUSDT,position_AVAXUSDT,signal_return_AVAXUSDT,cum_return_AVAXUSDT,cum_signal_return_AVAXUSDT
2020-09-23 00:00:00,3.5136,,0,0.5,,,
2020-09-24 00:00:00,4.6133,0.312983834,0,0.5,0.156491917,0.312983834,0.156491917
2020-09-25 00:00:00,4.6867,0.01591052,0,0.5,0.00795526,0.333874089,0.165692111
2020-09-26 00:00:00,4.5203,-0.035504726,0,0.5,-0.017752363,0.286515255,0.144998321
2020-09-27 00:00:00,4.6391,0.026281441,0,0.5,0.013140721,0.32032673,0.160044424
2020-09-28 00:00:00,4.1955,-0.095621996,0,0.5,-0.047810998,0.194074454,0.104581543
2020-09-29 00:00:00,4.1314,-0.015278274,0,0.5,-0.007639137,0.175831056,0.096143493
2020-09-30 00:00:00,4.321,0.045892434,0,0.5,0.022946217,0.229792805,0.121295839
2020-10-01 00:00:00,4.1477,-0.040106457,0,0.5,-0.020053228,0.180470173,0.098810238
2020-10-02 00:00:00,3.8972,-0.060394918,0,0.5,-0.030197459,0.109175774,0.065628961
2020-10-03 00:00:00,4.0169,0.030714359,0,0.5,0.01535718,0.143243397,0.081994016
2020-10-04 00:00:00,3.9608,-0.013965994,0,0.5,-0.006982997,0.127276867,0.074438455
2020-10-05 00:00:00,3.976,0.003837609,0,0.5,0.001918804,0.131602914,0.076500092
2020-10-06 00:00:00,3.5338,-0.111217304,0,0.5,-0.055608652,0.005749089,0.016637373
2020-10-07 00:00:00,3.4413,-0.026175788,0,0.5,-0.013087894,-0.020577186,0.003331731
2020-10-08 00:00:00,3.9034,0.13428065,0,0.5,0.067140325,0.110940346,0.07069575
2020-10-09 00:00:00,4.2356,0.085105293,0,0.5,0.042552646,0.20548725,0.116256687
2020-10-10 00:00:00,4.0142,-0.052271225,0,0.5,-0.026135612,0.142474954,0.087082635
2020-10-11 00:00:00,4.0924,0.019480843,0,0.5,0.009740422,0.16473133,0.097671278
2020-10-12 00:00:00,4.4123,0.078169289,0,0.5,0.039084645,0.25577755,0.14057337
2020-10-13 00:00:00,4.4774,0.01475421,0,0.5,0.007377105,0.274305556,0.148987499
2020-10-14 00:00:00,4.1513,-0.072832447,0,0.5,-0.036416224,0.181494763,0.107145714
2020-10-15 00:00:00,4.1266,-0.005949943,0,0.5,-0.002974972,0.174464936,0.103851986
2020-10-16 00:00:00,4.0281,-0.023869529,0,0.5,-0.011934765,0.146431011,0.090677773
2020-10-17 00:00:00,4.189,0.039944391,0,0.5,0.019972195,0.192224499,0.112461002
2020-10-18 00:00:00,4.1186,-0.01680592,0,0.5,-0.00840296,0.172188069,0.103113037
2020-10-19 00:00:00,4.0401,-0.019059875,0,0.5,-0.009529937,0.149846311,0.092600439
2020-10-20 00:00:00,3.7938,-0.060963838,0,0.5,-0.030481919,0.079747268,0.059295881
2020-10-21 00:00:00,3.9601,0.043834678,0,0.5,0.021917339,0.127077641,0.082512828
2020-10-22 00:00:00,4.3346,0.094568319,0,0.5,0.047284159,0.233663479,0.133698537
2020-10-23 00:00:00,4.2541,-0.018571494,0,0.5,-0.009285747,0.210752505,0.123171299
2020-10-24 00:00:00,4.1815,-0.017065889,0,0.5,-0.008532945,0.190089936,0.11358734
2020-10-25 00:00:00,4.1429,-0.009231137,0,0.5,-0.004615569,0.179104053,0.108447501
2020-10-26 00:00:00,4.142,-0.000217239,0,0.5,-0.00010862,0.178847905,0.108327102
2020-10-27 00:00:00,4.1245,-0.004225012,0,0.5,-0.002112506,0.173867259,0.105985755
2020-10-28 00:00:00,4.0505,-0.017941569,0,0.5,-0.008970784,0.152806239,0.096064195
2020-10-29 00:00:00,3.7776,-0.067374398,0,0.5,-0.033687199,0.075136612,0.059140862
2020-10-30 00:00:00,3.716,-0.01630665,0,0.5,-0.008153325,0.057604736,0.050505343
2020-10-31 00:00:00,3.6403,-0.020371367,0,0.5,-0.010185684,0.036059882,0.039805228
2020-11-01 00:00:00,3.6866,0.012718732,0,0.5,0.006359366,0.04923725,0.04641773
2020-11-02 00:00:00,3.6079,-0.021347583,0,0.5,-0.010673792,0.02683857,0.035248485
2020-11-03 00:00:00,3.3318,-0.076526511,0,0.5,-0.038263256,-0.051741803,-0.004363493
2020-11-04 00:00:00,3.1748,-0.047121676,0,0.5,-0.023560838,-0.096425319,-0.027821523
2020-11-05 00:00:00,3.337,0.051089832,0,0.5,0.025544916,-0.05026184,-0.002987305
2020-11-06 00:00:00,3.5966,0.077794426,0,0.5,0.038897213,0.023622495,0.03579371
2020-11-07 00:00:00,3.4209,-0.048851693,0,0.5,-0.024425847,-0.026383197,0.010493572
2020-11-08 00:00:00,3.475,0.015814552,0,0.5,0.007907276,-0.010985883,0.018483823
2020-11-09 00:00:00,3.4189,-0.016143885,0,0.5,-0.008071942,-0.026952413,0.01026268
2020-11-10 00:00:00,3.5736,0.045248472,0,0.5,0.022624236,0.017076503,0.033119102
2020-11-11 00:00:00,3.4865,-0.024373181,0,0.5,-0.012186591,-0.007712887,0.020528902
2020-11-12 00:00:00,3.4219,-0.01852861,0,0.5,-0.009264305,-0.026098588,0.011074411
2020-11-13 00:00:00,3.6781,0.074870686,0,0.5,0.037435343,0.046818078,0.048924328
2020-11-14 00:00:00,3.4863,-0.052146489,0,0.5,-0.026073244,-0.007769809,0.021575468
2020-11-15 00:00:00,3.5424,0.016091558,0,0.5,0.008045779,0.008196721,0.029794838
2020-11-16 00:00:00,3.7074,0.046578591,0,0.5,0.023289295,0.055157104,0.053778035
2020-11-17 00:00:00,3.8463,0.037465609,0,0.5,0.018732805,0.094689208,0.073518253
2020-11-18 00:00:00,3.7491,-0.02527104,0,0.5,-0.01263552,0.067025273,0.059953792
2020-11-19 00:00:00,3.6398,-0.029153664,0,0.5,-0.014576832,0.035917577,0.044503023
2020-11-20 00:00:00,3.7217,0.022501236,0,0.5,0.011250618,0.059227004,0.056254328
2020-11-21 00:00:00,4.0412,0.085847865,0,0.5,0.042923933,0.150159381,0.101592918
2020-11-22 00:00:00,3.9028,-0.034247253,0,0.5,-0.017123627,0.110769581,0.082729652
2020-11-23 00:00:00,4.0805,0.045531413,0,0.5,0.022765707,0.16134449,0.107378758
2020-11-24 00:00:00,4.2712,0.046734469,0,0.5,0.023367234,0.215619308,0.133255137
2020-11-25 00:00:00,4.0444,-0.053099831,0,0.5,-0.026549916,0.151070128,0.103167308
2020-11-26 00:00:00,3.5386,-0.125061814,0,0.5,-0.062530907,0.007115209,0.034185256
2020-11-27 00:00:00,3.5851,0.01314079,0,0.5,0.006570395,0.020349499,0.040980262
2020-11-28 00:00:00,3.6317,0.012998243,0,0.5,0.006499121,0.03361225,0.047745719
2020-11-29 00:00:00,3.7037,0.019825426,0,0.5,0.009912713,0.054104053,0.058131721
2020-11-30 00:00:00,3.7075,0.001026001,0,0.5,0.000513001,0.055185565,0.058674543
