date,close_price_SOLUSDT,return_SOLUSDT,signal_SOLUSDT,position_SOLUSDT,signal_return_SOLUSDT,cum_return_SOLUSDT,cum_signal_return_SOLUSDT
2020-09-14 00:00:00,3.2661,,0,0.5,,,
2020-09-15 00:00:00,2.9332,-0.101925844,0,0.5,-0.050962922,-0.101925844,-0.050962922
2020-09-16 00:00:00,2.5395,-0.13422201,0,0.5,-0.067111005,-0.222467163,-0.114653754
2020-09-17 00:00:00,2.8855,0.136247293,0,0.5,0.068123646,-0.116530419,-0.05434074
2020-09-18 00:00:00,3.108,0.077109686,0,0.5,0.038554843,-0.048406356,-0.017880995
2020-09-19 00:00:00,3.0193,-0.028539254,0,0.5,-0.014269627,-0.075564128,-0.031895467
2020-09-20 00:00:00,2.8635,-0.051601365,0,0.5,-0.025800682,-0.123266281,-0.056873224
2020-09-21 00:00:00,2.7539,-0.038274838,0,0.5,-0.019137419,-0.156823122,-0.074922237
2020-09-22 00:00:00,2.9183,0.059697157,0,0.5,0.029848578,-0.10648786,-0.047309981
2020-09-23 00:00:00,2.8313,-0.029811877,0,0.5,-0.014905938,-0.133125134,-0.061510719
2020-09-24 00:00:00,3.1392,0.108748631,0,0.5,0.054374316,-0.038853679,-0.010481007
2020-09-25 00:00:00,3.1821,0.013665902,0,0.5,0.006832951,-0.025718747,-0.003719672
2020-09-26 00:00:00,3.1262,-0.017567015,0,0.5,-0.008783508,-0.042833961,-0.012470508
2020-09-27 00:00:00,3.1617,0.011355639,0,0.5,0.00567782,-0.031964729,-0.006863494
2020-09-28 00:00:00,2.9564,-0.064933422,0,0.5,-0.032466711,-0.094822571,-0.03910737
2020-09-29 00:00:00,2.9517,-0.001589771,0,0.5,-0.000794886,-0.096261596,-0.039871169
2020-09-30 00:00:00,2.9004,-0.017379815,0,0.5,-0.008689908,-0.111968403,-0.0482146
2020-10-01 00:00:00,2.8701,-0.010446835,0,0.5,-0.005223417,-0.121245522,-0.053186173
2020-10-02 00:00:00,2.6236,-0.085885509,0,0.5,-0.042942755,-0.196717798,-0.093844966
2020-10-03 00:00:00,2.5454,-0.029806373,0,0.5,-0.014903186,-0.220660727,-0.107349564
2020-10-04 00:00:00,2.5236,-0.008564469,0,0.5,-0.004282235,-0.227335354,-0.111172102
2020-10-05 00:00:00,2.6495,0.049889047,0,0.5,0.024944524,-0.188787851,-0.089000714
2020-10-06 00:00:00,2.1732,-0.179769768,0,0.5,-0.089884884,-0.334619271,-0.170885779
2020-10-07 00:00:00,2.3027,0.059589545,0,0.5,0.029794773,-0.294969536,-0.146182509
2020-10-08 00:00:00,2.3716,0.029921397,0,0.5,0.014960698,-0.273874039,-0.133408803
2020-10-09 00:00:00,2.5363,0.069446787,0,0.5,0.034723393,-0.223446924,-0.103317816
2020-10-10 00:00:00,2.407,-0.050979774,0,0.5,-0.025489887,-0.263035425,-0.126174144
2020-10-11 00:00:00,2.4257,0.007769007,0,0.5,0.003884504,-0.257309942,-0.122779764
2020-10-12 00:00:00,2.5825,0.064641135,0,0.5,0.032320567,-0.209301614,-0.094427508
2020-10-13 00:00:00,2.4048,-0.068809293,0,0.5,-0.034404647,-0.263709011,-0.12558341
2020-10-14 00:00:00,2.3087,-0.039961743,0,0.5,-0.019980872,-0.293132482,-0.143055016
2020-10-15 00:00:00,2.267,-0.018062113,0,0.5,-0.009031056,-0.305900003,-0.150794134
2020-10-16 00:00:00,2.1404,-0.055844729,0,0.5,-0.027922364,-0.344661829,-0.17450597
2020-10-17 00:00:00,2.2062,0.030741917,0,0.5,0.015370959,-0.324515477,-0.161817335
2020-10-18 00:00:00,2.2186,0.005620524,0,0.5,0.002810262,-0.3207189,-0.159461822
2020-10-19 00:00:00,2.0578,-0.072478139,0,0.5,-0.03623907,-0.36995193,-0.189922144
2020-10-20 00:00:00,1.8905,-0.081300418,0,0.5,-0.040650209,-0.421175102,-0.222851978
2020-10-21 00:00:00,1.8933,0.00148109,0,0.5,0.000740545,-0.42031781,-0.222276465
2020-10-22 00:00:00,1.9619,0.036233032,0,0.5,0.018116516,-0.399314167,-0.208186824
2020-10-23 00:00:00,1.9645,0.001325246,0,0.5,0.000662623,-0.39851811,-0.20766215
2020-10-24 00:00:00,1.9196,-0.022855688,0,0.5,-0.011427844,-0.412265393,-0.216716864
2020-10-25 00:00:00,1.7937,-0.065586581,0,0.5,-0.03279329,-0.450812896,-0.242403295
2020-10-26 00:00:00,1.6786,-0.064169036,0,0.5,-0.032084518,-0.486053703,-0.26671042
2020-10-27 00:00:00,1.7135,0.020791135,0,0.5,0.010395568,-0.475368176,-0.259087459
2020-10-28 00:00:00,1.5196,-0.113160198,0,0.5,-0.056580099,-0.534735617,-0.301008364
2020-10-29 00:00:00,1.4325,-0.057317715,0,0.5,-0.028658858,-0.561403509,-0.321040666
2020-10-30 00:00:00,1.4378,0.003699825,0,0.5,0.001849913,-0.559780778,-0.31978465
2020-10-31 00:00:00,1.5472,0.076088468,0,0.5,0.038044234,-0.526285172,-0.293906378
2020-11-01 00:00:00,1.6076,0.039038263,0,0.5,0.019519131,-0.507792168,-0.280124044
2020-11-02 00:00:00,1.4741,-0.083043046,0,0.5,-0.041521523,-0.548666605,-0.31001439
2020-11-03 00:00:00,1.4131,-0.041381182,0,0.5,-0.020690591,-0.567343315,-0.3242906
2020-11-04 00:00:00,1.391,-0.015639374,0,0.5,-0.007819687,-0.574109795,-0.329574436
2020-11-05 00:00:00,1.4011,0.007260963,0,0.5,0.003630482,-0.571017421,-0.327140468
2020-11-06 00:00:00,1.8998,0.355934623,0,0.5,0.177967311,-0.418327669,-0.207393466
2020-11-07 00:00:00,2.0283,0.067638699,0,0.5,0.033819349,-0.378984109,-0.180588029
2020-11-08 00:00:00,2.1571,0.063501454,0,0.5,0.031750727,-0.339548697,-0.154571103
2020-11-09 00:00:00,2.0393,-0.054610356,0,0.5,-0.027305178,-0.375616178,-0.17765569
2020-11-10 00:00:00,2.2652,0.110773305,0,0.5,0.055386652,-0.306451119,-0.132108791
2020-11-11 00:00:00,2.003,-0.115751369,0,0.5,-0.057875684,-0.386730351,-0.182338589
2020-11-12 00:00:00,1.9083,-0.047279081,0,0.5,-0.023639541,-0.415725177,-0.201667729
2020-11-13 00:00:00,2.0191,0.05806215,0,0.5,0.029031075,-0.381800925,-0.178491285
2020-11-14 00:00:00,1.92,-0.049081274,0,0.5,-0.024540637,-0.412142923,-0.198651632
2020-11-15 00:00:00,2.0431,0.064114583,0,0.5,0.032057292,-0.374452711,-0.172962574
2020-11-16 00:00:00,2.268,0.110077823,0,0.5,0.055038911,-0.305593828,-0.127443334
