date,close_price_BTCUSDT,close_price_ETHUSDT,close_price_SOLUSDT,return_BTCUSDT,return_ETHUSDT,return_SOLUSDT,signal_BTCUSDT,signal_ETHUSDT,signal_SOLUSDT,position_BTCUSDT,position_ETHUSDT,position_SOLUSDT,signal_return_BTCUSDT,signal_return_ETHUSDT,signal_return_SOLUSDT,signal_basket_return,cum_signal_basket_return
9/14/2020,10664.1,377.13,3.2661,0.032570596,0.0297346,,0,0,0,0,0,0,0,0,,0,0
9/15/2020,10776.78,364.06,2.9332,0.010566293,-0.034656485,-0.101925844,0,0,0,0,0,0,0,0,0,0,0
9/16/2020,10948.17,364.95,2.5395,0.015903637,0.002444652,-0.13422201,0,0,0,0,0,0,0,0,0,0,0
9/17/2020,10935.33,389.24,2.8855,-0.001172799,0.066557063,0.136247293,0,0,0,0,0,0,0,0,0,0,0
9/18/2020,10926.29,384.44,3.108,-0.000826678,-0.012331723,0.077109686,0,0,0,0,0,0,0,0,0,0,0
9/19/2020,11073.74,384.96,3.0193,0.013494974,0.001352617,-0.028539254,0,0,0,0,0,0,0,0,0,0,0
9/20/2020,10914.28,370.85,2.8635,-0.014399832,-0.036653159,-0.051601365,0,0,0,0,0,0,0,0,0,0,0
9/21/2020,10414.73,340.19,2.7539,-0.045770312,-0.082674936,-0.038274838,0,0,0,0,0,0,0,0,0,0,0
9/22/2020,10523.32,344.06,2.9183,0.010426579,0.011375996,0.059697157,0,0,0,0,0,0,0,0,0,0,0
9/23/2020,10237.91,320.64,2.8313,-0.027121669,-0.068069523,-0.029811877,0,0,0,0,0,0,0,0,0,0,0
9/24/2020,10724.92,348.77,3.1392,0.047569279,0.087730788,0.108748631,0,0,0,0,0,0,0,0,0,0,0
9/25/2020,10683.51,351.88,3.1821,-0.003861101,0.008917051,0.013665902,0,0,0,0,0,0,0,0,0,0,0
9/26/2020,10726.5,353.88,3.1262,0.004023958,0.005683756,-0.017567015,0,0,0,0,0,0,0,0,0,0,0
9/27/2020,10768,357.4,3.1617,0.003868923,0.009946875,0.011355639,0,0,0,0,0,0,0,0,0,0,0
9/28/2020,10691.45,353.85,2.9564,-0.007109027,-0.009932848,-0.064933422,0,0,0,0,0,0,0,0,0,0,0
9/29/2020,10836.98,359.7,2.9517,0.013611811,0.016532429,-0.001589771,0,0,0,0,0,0,0,0,0,0,0
9/30/2020,10773,359.71,2.9004,-0.005903859,2.78E-05,-0.017379815,0,0,0,0,0,0,0,0,0,0,0
10/1/2020,10612.63,352.53,2.8701,-0.01488629,-0.019960524,-0.010446835,0,0,0,0,0,0,0,0,0,0,0
10/2/2020,10565.15,345.41,2.6236,-0.004473915,-0.020196863,-0.085885509,0,0,0,0,0,0,0,0,0,0,0
10/3/2020,10537.96,345.72,2.5454,-0.002573556,0.000897484,-0.029806373,1,0,0,1,0,0,0,0,0,0,0
10/4/2020,10660.16,352.23,2.5236,0.011596172,0.018830267,-0.008564469,1,0,0,1,0,0,0.011596172,0,0,0.011596,0.011596
10/5/2020,10785,353.45,2.6495,0.011710894,0.003463646,0.049889047,1,1,0,0.5,0.410276437,0,0.011710894,0,0,0.011711,0.023443
10/6/2020,10593.65,340.65,2.1732,-0.017742235,-0.036214457,-0.179769768,1,0,0,1,0,0,-0.008871117,-0.014857939,0,-0.023729,-0.000842
10/7/2020,10658.75,341.41,2.3027,0.006145191,0.002231029,0.059589545,1,0,0,1,0,0,0.006145191,0,0,0.006145,0.005297
10/8/2020,10919.45,351.08,2.3716,0.024458778,0.028323716,0.029921397,1,1,0,0.5,0.424225396,0,0.024458778,0,0,0.024459,0.029886
10/9/2020,11050.47,365.04,2.5363,0.011998773,0.039763017,0.069446787,1,1,0,0.5,0.424126716,0,0.005999386,0.016868482,0,0.022868,0.053437
10/10/2020,11294.79,370.68,2.407,0.022109467,0.015450362,-0.050979774,1,1,0,0.5,0.435368925,0,0.011054733,0.006552911,0,0.017608,0.071986
10/11/2020,11369.59,374.39,2.4257,0.006622522,0.010008633,0.007769007,1,1,0,0.5,0.436156409,0,0.003311261,0.004357448,0,0.007669,0.080207
10/12/2020,11530.36,386.73,2.5825,0.014140352,0.032960282,0.064641135,1,0,0,1,0,0,0.007070176,0.014375838,0,0.021446,0.103373
10/13/2020,11419.36,381.12,2.4048,-0.009626759,-0.014506245,-0.068809293,1,1,0,0.5,0.456612884,0,-0.009626759,0,0,-0.009627,0.092751
10/14/2020,11417.13,378.75,2.3087,-0.000195282,-0.006218514,-0.039961743,1,1,0,0.5,0.461701688,0,-9.76E-05,-0.002839454,0,-0.002937,0.089542
10/15/2020,11502,377.63,2.267,0.007433567,-0.002957096,-0.018062113,1,1,0,0.5,0.470700675,0,0.003716783,-0.001365296,0,0.002351,0.092103
10/16/2020,11318.92,365.41,2.1404,-0.015917232,-0.032359717,-0.055844729,1,1,0,0.5,0.462717422,0,-0.007958616,-0.015231741,0,-0.02319,0.066778
10/17/2020,11356.25,368.26,2.2062,0.003298018,0.007799458,0.030741917,1,0,0,1,0,0,0.001649009,0.003608945,0,0.005258,0.072387
10/18/2020,11501.1,378.29,2.2186,0.012755091,0.027236192,0.005620524,1,0,0,1,0,0,0.012755091,0,0,0.012755,0.086065
10/19/2020,11745,379.47,2.0578,0.021206667,0.0031193,-0.072478139,1,0,0,1,0,0,0.021206667,0,0,0.021207,0.109097
10/20/2020,11900.03,368.74,1.8905,0.013199659,-0.02827628,-0.081300418,1,0,0,1,0,0,0.013199659,0,0,0.0132,0.123737
10/21/2020,12796.07,390.96,1.8933,0.075297289,0.060259261,0.00148109,1,1,0,0.5,0.5,0,0.075297289,0,0,0.075297,0.208351
10/22/2020,12968.87,414.39,1.9619,0.013504146,0.059929405,0.036233032,1,1,0,0.5,0.5,0,0.006752073,0.029964702,0,0.036717,0.252718
10/23/2020,12925.82,409.4,1.9645,-0.003319487,-0.012041796,0.001325246,1,1,0,0.5,0.5,0,-0.001659744,-0.006020898,0,-0.007681,0.243096
